사번,발령일자,발령종류,발령내용
GA13035,2013-07-12,입사,사업 1팀 이사 입사
GA23036,2023-05-23,입사,사업 1팀 사원 입사
GA23036,2026-01-11,발령,제작 1팀 → 사업 1팀 부서 이동
GA11037,2011-05-24,입사,사업 1팀 부장 입사
GA22038,2022-09-27,입사,사업 1팀 주임 입사
GA13039,2013-02-18,입사,사업 1팀 부장 입사
GA13039,2014-03-12,승진,차장 → 부장 승진
GA19040,2019-12-03,입사,사업 1팀 과장 입사
GA24041,2024-12-06,입사,사업 1팀 주임 입사
GA18042,2018-09-19,입사,사업 1팀 과장 입사
GA18042,2020-02-01,승진,대리 → 과장 승진
GA20043,2020-02-14,입사,사업 1팀 대리 입사
GA20043,2024-10-09,승진,주임 → 대리 승진
GA19044,2019-04-02,입사,사업 1팀 주임 입사
GA19044,2022-03-11,승진,사원 → 주임 승진
GA16045,2016-03-21,입사,사업 1팀 과장 입사
GA16045,2018-05-22,승진,대리 → 과장 승진
GA12046,2012-10-08,입사,사업 1팀 차장 입사
GA16047,2016-01-21,입사,사업 1팀 과장 입사
GA16047,2020-02-23,승진,대리 → 과장 승진
GA21048,2021-05-17,입사,사업 1팀 대리 입사
GA12049,2012-02-17,입사,사업 1팀 차장 입사
GA12049,2013-04-27,발령,제작 1팀 → 사업 1팀 부서 이동
GA19050,2019-04-25,입사,사업 1팀 차장 입사
GA25051,2025-06-20,입사,사업 2팀 사원 입사
GA25051,2025-05-28,휴직,질병휴직
GA23052,2023-03-26,입사,사업 2팀 사원 입사
GA23053,2023-04-09,입사,사업 2팀 대리 입사
GA23053,2026-04-26,승진,주임 → 대리 승진
GA19054,2019-01-12,입사,사업 2팀 주임 입사
GA22055,2022-02-12,입사,사업 2팀 사원 입사
GA22055,2024-08-27,발령,기술연구소 → 사업 2팀 부서 이동
GA20056,2020-03-04,입사,사업 2팀 차장 입사
GA25057,2025-05-22,입사,사업 2팀 사원 입사
GA21058,2021-06-23,입사,사업 2팀 과장 입사
GA21058,2023-01-28,승진,대리 → 과장 승진
GA24059,2024-09-17,입사,사업 2팀 주임 입사
GA20060,2020-01-18,입사,사업 2팀 주임 입사
GA23061,2023-09-06,입사,사업 2팀 대리 입사
GA23061,2025-04-01,승진,주임 → 대리 승진
GA21062,2021-07-16,입사,사업 2팀 대리 입사
GA19063,2019-01-17,입사,사업 2팀 대리 입사
GA19063,2023-02-09,발령,제작 1팀 → 사업 2팀 부서 이동
GA24064,2024-07-06,입사,사업 2팀 사원 입사
GA13065,2013-02-07,입사,사업 2팀 차장 입사
GA13065,2014-10-16,승진,과장 → 차장 승진
GA19066,2019-08-12,입사,사업 2팀 주임 입사
GA19067,2019-01-07,입사,사업 2팀 주임 입사
GA19067,2022-08-26,승진,사원 → 주임 승진
GA24068,2024-04-14,입사,사업 2팀 대리 입사
GA13069,2013-10-12,입사,사업 3팀 차장 입사
GA13069,2017-11-18,승진,과장 → 차장 승진
GA22070,2022-09-06,입사,사업 3팀 사원 입사
GA22070,2024-03-03,발령,사업 1팀 → 사업 3팀 부서 이동
GA17071,2017-10-05,입사,사업 3팀 대리 입사
GA17071,2019-09-06,승진,주임 → 대리 승진
GA13072,2013-06-09,입사,사업 3팀 차장 입사
GA13072,2014-07-06,승진,과장 → 차장 승진
GA22073,2022-04-15,입사,사업 3팀 사원 입사
GA20074,2020-07-25,입사,사업 3팀 대리 입사
GA20074,2023-06-16,승진,주임 → 대리 승진
GA22075,2022-12-21,입사,사업 3팀 주임 입사
GA21076,2021-09-19,입사,사업 3팀 대리 입사
GA21076,2022-06-22,승진,주임 → 대리 승진
GA22077,2022-10-17,입사,사업 3팀 주임 입사
GA22077,2023-11-16,승진,사원 → 주임 승진
GA22077,2023-07-22,발령,사업 2팀 → 사업 3팀 부서 이동
GA21078,2021-04-07,입사,사업 3팀 과장 입사
GA22079,2022-09-07,입사,사업 3팀 대리 입사
GA22079,2026-08-18,승진,주임 → 대리 승진
GA13080,2013-02-20,입사,사업 3팀 차장 입사
GA13080,2017-03-15,승진,과장 → 차장 승진
GA11081,2011-07-03,입사,사업 3팀 부장 입사
GA18082,2018-01-27,입사,사업 3팀 대리 입사
GA15083,2015-04-05,입사,사업 3팀 과장 입사
GA15083,2019-02-04,승진,대리 → 과장 승진
GA18084,2018-02-10,입사,사업 3팀 대리 입사
GA19085,2019-12-14,입사,사업 3팀 과장 입사
GA19085,2023-10-23,승진,대리 → 과장 승진
GA21086,2021-05-25,입사,제작 1팀 과장 입사
GA21086,2025-11-04,승진,대리 → 과장 승진
GA21086,2025-04-22,휴직,육아휴직
GA24087,2024-03-20,입사,제작 1팀 주임 입사
GA25088,2025-09-13,입사,제작 1팀 사원 입사
GA20089,2020-10-13,입사,제작 1팀 과장 입사
GA23090,2023-12-04,입사,제작 1팀 사원 입사
GA22091,2022-01-19,입사,제작 1팀 과장 입사
GA22091,2023-05-06,승진,대리 → 과장 승진
GA20092,2020-06-19,입사,제작 1팀 대리 입사
GA18093,2018-09-13,입사,제작 1팀 과장 입사
GA18093,2020-06-23,승진,대리 → 과장 승진
GA18093,2023-04-14,발령,경영지원팀 → 제작 1팀 부서 이동
GA25094,2025-12-16,입사,제작 1팀 주임 입사
GA14095,2014-07-12,입사,제작 1팀 과장 입사
GA25096,2025-12-15,입사,제작 1팀 주임 입사
GA24097,2024-04-23,입사,제작 1팀 대리 입사
GA24097,2026-01-11,발령,사업 2팀 → 제작 1팀 부서 이동
GA15098,2015-01-19,입사,제작 1팀 이사 입사
GA26099,2026-01-19,입사,제작 1팀 사원 입사
GA25100,2025-10-10,입사,제작 1팀 사원 입사
GA19101,2019-01-07,입사,제작 1팀 대리 입사
GA19101,2022-05-20,승진,주임 → 대리 승진
GA22102,2022-12-08,입사,제작 1팀 과장 입사
GA22102,2026-01-09,승진,대리 → 과장 승진
GA24103,2024-01-13,입사,제작 1팀 사원 입사
GA17104,2017-05-16,입사,제작 1팀 부장 입사
GA14105,2014-01-18,입사,제작 1팀 부장 입사
GA25106,2025-10-06,입사,제작 1팀 사원 입사
GA25107,2025-02-08,입사,제작 1팀 사원 입사
GA16108,2016-05-09,입사,제작 1팀 부장 입사
GA26109,2026-11-14,입사,제작 1팀 사원 입사
GA23110,2023-04-12,입사,제작 1팀 사원 입사
GA24111,2024-02-26,입사,제작 2팀 주임 입사
GA24111,2026-01-02,승진,사원 → 주임 승진
GA24111,2025-02-16,휴직,육아휴직
GA16112,2016-06-25,입사,제작 2팀 차장 입사
GA22113,2022-06-15,입사,제작 2팀 사원 입사
GA15114,2015-09-02,입사,제작 2팀 과장 입사
GA15114,2016-03-26,승진,대리 → 과장 승진
GA23115,2023-11-14,입사,제작 2팀 사원 입사
GA23116,2023-06-16,입사,제작 2팀 사원 입사
GA17117,2017-04-04,입사,제작 2팀 차장 입사
GA17117,2020-02-10,발령,제작 1팀 → 제작 2팀 부서 이동
GA17118,2017-09-20,입사,제작 2팀 과장 입사
GA15119,2015-06-12,입사,제작 2팀 이사 입사
GA15119,2019-05-24,승진,부장 → 이사 승진
GA18120,2018-09-25,입사,제작 2팀 부장 입사
GA17121,2017-09-27,입사,제작 2팀 차장 입사
GA12122,2012-09-16,입사,제작 2팀 부장 입사
GA26123,2026-10-25,입사,제작 2팀 사원 입사
GA22124,2022-09-21,입사,제작 2팀 대리 입사
GA22124,2025-08-19,발령,총무팀 → 제작 2팀 부서 이동
GA14125,2014-07-23,입사,제작 2팀 차장 입사
GA14125,2017-05-26,승진,과장 → 차장 승진
GA22126,2022-02-05,입사,제작 2팀 대리 입사
GA22127,2022-09-23,입사,제작 2팀 사원 입사
GA14128,2014-09-24,입사,제작 2팀 차장 입사
GA22129,2022-08-11,입사,제작 2팀 과장 입사
GA21130,2021-04-20,입사,제작 2팀 과장 입사
GA21130,2023-05-13,승진,대리 → 과장 승진
GA18131,2018-10-06,입사,제작 2팀 차장 입사
GA18131,2022-01-12,승진,과장 → 차장 승진
GA18132,2018-02-21,입사,제작 2팀 대리 입사
GA22133,2022-10-11,입사,총무팀 사원 입사
GA25134,2025-11-11,입사,총무팀 주임 입사
GA25135,2025-07-14,입사,총무팀 주임 입사
GA15136,2015-02-17,입사,총무팀 과장 입사
GA16137,2016-06-07,입사,총무팀 과장 입사
GA16137,2019-04-06,승진,대리 → 과장 승진
GA13138,2013-03-02,입사,총무팀 이사 입사
GA23139,2023-03-04,입사,총무팀 사원 입사
GA19140,2019-08-01,입사,총무팀 주임 입사
GA23141,2023-01-15,입사,제작 1팀 사원 입사
GA23141,2024-08-14,퇴사,이직 퇴직
GA18142,2018-06-18,입사,제작 1팀 부장 입사
GA18142,2022-06-18,퇴사,개인 사유 퇴직
GA14143,2014-09-02,입사,재무팀 과장 입사
GA14143,2016-04-19,승진,대리 → 과장 승진
GA14143,2023-02-16,퇴사,이직 퇴직
GA19144,2019-12-19,입사,제작 2팀 주임 입사
GA19144,2020-03-04,발령,사업 1팀 → 제작 2팀 부서 이동
GA19144,2025-11-06,퇴사,계약 만료
GA19145,2019-10-25,입사,제작 2팀 대리 입사
GA19145,2020-05-07,승진,주임 → 대리 승진
GA19145,2022-02-22,퇴사,이직 퇴직
GA18146,2018-05-08,입사,경영지원팀 대리 입사
GA18146,2021-09-07,승진,주임 → 대리 승진
GA18146,2024-01-25,퇴사,계약 만료
GA17147,2017-01-05,입사,제작 1팀 대리 입사
GA17147,2020-10-23,승진,주임 → 대리 승진
GA17147,2025-08-06,퇴사,개인 사유 퇴직
GA22148,2022-08-13,입사,재무팀 대리 입사
GA22148,2026-12-16,승진,주임 → 대리 승진
GA22148,2026-05-21,퇴사,계약 만료
GA19149,2019-09-18,입사,인사팀 주임 입사
GA19149,2020-08-17,발령,총무팀 → 인사팀 부서 이동
GA19149,2026-01-23,퇴사,이직 퇴직
GA25150,2025-11-04,입사,제작 1팀 사원 입사
GA25150,2026-02-18,퇴사,개인 사유 퇴직
GA12151,2012-10-04,입사,사업 3팀 차장 입사
GA12151,2016-09-26,승진,과장 → 차장 승진
GA12151,2023-12-24,퇴사,이직 퇴직
GA19152,2019-04-08,입사,제작 1팀 주임 입사
GA19152,2023-01-11,퇴사,이직 퇴직
GA24153,2024-08-21,입사,사업 3팀 주임 입사
GA24153,2026-06-07,승진,사원 → 주임 승진
GA24153,2026-08-05,퇴사,계약 만료
GA23154,2023-01-02,입사,제작 1팀 주임 입사
GA23154,2026-01-10,승진,사원 → 주임 승진
GA23154,2024-10-01,퇴사,개인 사유 퇴직
GA21155,2021-05-26,입사,사업 3팀 대리 입사
GA21155,2024-10-11,퇴사,계약 만료
GA24156,2024-03-27,입사,총무팀 주임 입사
GA24156,2026-03-07,승진,사원 → 주임 승진
GA24156,2026-11-10,퇴사,이직 퇴직
GA21157,2021-11-10,입사,제작 1팀 주임 입사
GA21157,2024-08-21,퇴사,계약 만료
GA17158,2017-04-01,입사,제작 1팀 과장 입사
GA17158,2020-10-04,승진,대리 → 과장 승진
GA17158,2021-10-23,퇴사,개인 사유 퇴직
